,客户编号,交易时间,交易金额,基金类型,基金编号
197,9742,2016-04-27 10:25:09,3897,理财型,791.0
198,9742,2016-04-27 10:25:09,4060,QDII,163208.0
199,9742,2016-04-27 10:25:09,3805,联接基金,4069.0
200,9742,2016-04-07 10:25:09,3790,联接基金,5832.0
201,9742,2016-04-07 10:25:09,3590,其他型,990.0
202,9743,2016-04-27 10:25:09,3682,定开债券,401.0
203,9743,2016-04-07 10:25:09,3700,联接基金,6215.0
204,9743,2016-04-27 10:25:09,3406,QDII,4161.0
205,9743,2016-04-27 10:25:09,3419,QDII-指数,162719.0
206,9743,2016-04-27 10:25:09,3495,联接基金,1180.0
207,9744,2016-04-27 10:25:09,3792,定开债券,3471.0
208,9744,2016-04-27 10:25:09,3503,货币型,3389.0
209,9744,2016-04-27 10:25:09,3794,货币型,4841.0
210,9744,2016-04-07 10:25:09,3680,QDII,161620.0
211,9744,2016-04-27 10:25:09,3437,QDII,50015.0
212,9745,2016-04-07 10:25:09,3466,债券型,6337.0
213,9745,2016-04-27 10:25:09,3647,定开债券,3531.0
214,9745,2016-04-27 10:25:09,3366,货币型,3538.0
215,9745,2016-04-27 10:25:09,3583,定开债券,817.0
216,9745,2016-04-27 10:25:09,3804,货币型,483.0
217,9746,2016-04-07 10:25:09,3894,货币型,1526.0
218,9746,2016-04-27 10:25:09,3382,定开债券,1545.0
219,9746,2016-04-07 10:25:09,4063,定开债券,415.0
220,9746,2016-04-07 10:25:09,3765,理财型,40029.0
221,9746,2016-04-27 10:25:09,3915,定开债券,347.0
222,9746,2016-04-27 10:25:09,3726,QDII,3463.0
223,9747,2016-04-27 10:25:09,3480,货币型,331.0
224,9747,2016-04-07 10:25:09,3632,联接基金,100053.0
225,9747,2016-04-07 10:25:09,3516,股票指数,162412.0
226,9747,2016-04-07 10:25:09,3535,联接基金,110026.0
227,9747,2016-04-27 10:25:09,3535,货币型,4368.0
228,9748,2016-04-27 10:25:09,3643,联接基金,240019.0
229,9748,2016-04-07 10:25:09,3745,QDII,5441.0
230,9748,2016-04-07 10:25:09,3581,QDII-指数,161127.0
231,9748,2016-04-07 10:25:09,4089,货币型,2195.0
232,9748,2016-04-07 10:25:09,3571,理财型,90023.0
233,9748,2016-04-07 10:25:09,4032,定开债券,113.0
234,9749,2016-04-27 10:25:09,3475,联接基金,4347.0
235,9749,2016-04-27 10:25:09,3665,QDII,519696.0
236,9749,2016-04-07 10:25:09,3879,货币型,397.0
237,9749,2016-04-07 10:25:09,3815,联接基金,950.0
238,9749,2016-04-27 10:25:09,3720,其他型,3430.0
239,9750,2016-04-27 10:25:09,3979,定开债券,4334.0
240,9750,2016-04-07 10:25:09,3439,定开债券,115.0
241,9750,2016-04-07 10:25:09,3599,联接基金,4642.0
242,9750,2016-04-27 10:25:09,3553,其他型,530030.0
243,9750,2016-04-27 10:25:09,3766,联接基金,90012.0
244,9751,2016-04-27 10:25:09,3993,联接基金,5881.0
245,9751,2016-04-27 10:25:09,3846,理财型,485118.0
246,9751,2016-04-07 10:25:09,3507,联接基金,50024.0
247,9751,2016-04-07 10:25:09,3730,货币型,3171.0
248,9751,2016-04-27 10:25:09,3515,QDII-指数,160140.0
249,9751,2016-04-27 10:25:09,4032,货币型,4865.0
250,9752,2016-04-27 10:25:09,3908,混合型,2564.0
251,9752,2016-04-27 10:25:09,3733,QDII,100050.0
252,9752,2016-04-27 10:25:09,3953,定开债券,3325.0
253,9752,2016-04-07 10:25:09,4075,定开债券,470089.0
254,9752,2016-04-27 10:25:09,3666,其他型,1041.0
255,9753,2016-04-27 10:25:09,3796,货币型,785.0
256,9753,2016-04-27 10:25:09,3905,货币型,638.0
257,9753,2016-04-27 10:25:09,3347,货币型,921.0
258,9753,2016-04-07 10:25:09,3788,定开债券,3051.0
259,9753,2016-04-07 10:25:09,3950,联接基金,519686.0
260,9754,2016-04-07 10:25:09,3944,联接基金,3765.0
261,9754,2016-04-07 10:25:09,3756,QDII,165510.0
262,9754,2016-04-27 10:25:09,3762,定开债券,2448.0
263,9754,2016-04-27 10:25:09,3897,货币型,2852.0
264,9754,2016-04-27 10:25:09,3492,货币型,331.0
265,9754,2016-04-27 10:25:09,3528,联接基金,70039.0
266,9755,2016-04-07 10:25:09,3800,联接基金,206010.0
267,9755,2016-04-07 10:25:09,3595,其他型,808.0
268,9755,2016-04-07 10:25:09,3913,QDII-指数,160213.0
269,9755,2016-04-07 10:25:09,3402,QDII,70012.0
270,9755,2016-04-07 10:25:09,3531,QDII,5557.0
271,9755,2016-04-07 10:25:09,3992,定开债券,161117.0
272,9756,2016-04-27 10:25:09,3658,货币型,3871.0
273,9756,2016-04-27 10:25:09,3873,定开债券,3530.0
274,9756,2016-04-07 10:25:09,3657,QDII-指数,369.0
275,9756,2016-04-27 10:25:09,3390,其他型,990.0
276,9756,2016-04-07 10:25:09,3630,货币型,3398.0
277,9756,2016-04-07 10:25:09,3466,理财型,485118.0
278,9757,2016-04-07 10:25:09,3793,联接基金,4597.0
279,9757,2016-04-27 10:25:09,3661,定开债券,5424.0
280,9757,2016-04-27 10:25:09,3768,其他型,341.0
281,9757,2016-04-27 10:25:09,3927,货币型,519568.0
282,9757,2016-04-27 10:25:09,3659,定开债券,1750.0
283,9757,2016-04-07 10:25:09,3863,股票指数,160630.0
284,9758,2016-04-27 10:25:09,3390,定开债券,465.0
285,9758,2016-04-07 10:25:09,3920,理财型,470060.0
286,9758,2016-04-27 10:25:09,3840,混合型,160415.0
287,9758,2016-04-27 10:25:09,3991,货币型,392001.0
288,9758,2016-04-07 10:25:09,4016,QDII,165510.0
289,9759,2016-04-07 10:25:09,3634,货币型,618.0
290,9759,2016-04-07 10:25:09,4039,混合-FOF,5220.0
291,9759,2016-04-07 10:25:09,3640,定开债券,3126.0
292,9759,2016-04-27 10:25:09,3929,保本型,3189.0
293,9759,2016-04-27 10:25:09,3836,混合-FOF,5216.0
294,9759,2016-04-27 10:25:09,3367,货币型,2243.0
295,9760,2016-04-07 10:25:09,3864,货币型,210012.0
296,9760,2016-04-07 10:25:09,3872,联接基金,6293.0
297,9760,2016-04-27 10:25:09,3489,其他型,501300.0
298,9760,2016-04-27 10:25:09,3589,货币型,588.0
299,9760,2016-04-27 10:25:09,3957,QDII,100050.0
300,9761,2016-04-27 10:25:09,3916,QDII,5441.0
301,9761,2016-04-07 10:25:09,3951,QDII,43.0
302,9761,2016-04-07 10:25:09,3634,定开债券,2781.0
303,9761,2016-04-27 10:25:09,3957,联接基金,5868.0
304,9761,2016-04-07 10:25:09,3597,混合-FOF,5759.0
305,9762,2016-04-27 10:25:09,3671,定开债券,3024.0
306,9762,2016-04-27 10:25:09,3384,联接基金,100053.0
307,9762,2016-04-07 10:25:09,3468,定开债券,161619.0
308,9762,2016-04-07 10:25:09,3662,其他型,1516.0
309,9762,2016-04-07 10:25:09,3430,QDII,100050.0
310,9762,2016-04-07 10:25:09,3851,联接基金,613.0
311,9763,2016-04-07 10:25:09,3758,联接基金,5727.0
312,9763,2016-04-27 10:25:09,3947,定开债券,3406.0
313,9763,2016-04-07 10:25:09,3776,QDII,290.0
314,9763,2016-04-27 10:25:09,3903,定开债券,3071.0
315,9763,2016-04-27 10:25:09,3451,货币型,559.0
316,9763,2016-04-07 10:25:09,3378,理财型,322.0
317,9764,2016-04-27 10:25:09,3714,股票型,4272.0
318,9764,2016-04-27 10:25:09,3517,定开债券,361.0
319,9764,2016-04-27 10:25:09,3385,货币型,4198.0
320,9764,2016-04-07 10:25:09,3398,联接基金,110019.0
321,9764,2016-04-27 10:25:09,3959,QDII-指数,161127.0
322,9764,2016-04-27 10:25:09,3638,定开债券,519663.0
323,9765,2016-04-27 10:25:09,3681,股票型,5516.0
324,9765,2016-04-27 10:25:09,3983,联接基金,5874.0
325,9765,2016-04-27 10:25:09,3475,定开债券,244.0
326,9765,2016-04-07 10:25:09,3689,联接基金,5581.0
327,9765,2016-04-27 10:25:09,3447,QDII,1668.0
328,9766,2016-04-27 10:25:09,4082,货币型,90022.0
329,9766,2016-04-27 10:25:09,3614,联接基金,3765.0
330,9766,2016-04-07 10:25:09,3414,QDII-指数,96001.0
331,9766,2016-04-27 10:25:09,3437,固定收益,675.0
332,9766,2016-04-27 10:25:09,3380,其他型,5099.0
333,9766,2016-04-07 10:25:09,3630,货币型,550010.0
334,9767,2016-04-27 10:25:09,4034,联接基金,5554.0
335,9767,2016-04-27 10:25:09,3703,理财型,110050.0
336,9767,2016-04-07 10:25:09,3883,混合型,5603.0
337,9767,2016-04-27 10:25:09,3986,货币型,4903.0
338,9767,2016-04-07 10:25:09,3528,定开债券,5995.0
339,9768,2016-04-07 10:25:09,3480,QDII,43.0
340,9768,2016-04-07 10:25:09,3577,混合型,708.0
341,9768,2016-04-07 10:25:09,3934,货币型,659.0
342,9768,2016-04-27 10:25:09,3760,货币型,4330.0
343,9768,2016-04-27 10:25:09,3362,货币型,5016.0
344,9768,2016-04-07 10:25:09,3373,QDII,4161.0
345,9769,2016-04-07 10:25:09,3824,货币型,2912.0
346,9769,2016-04-27 10:25:09,3444,货币型,2759.0
347,9769,2016-04-07 10:25:09,3511,定开债券,3682.0
348,9769,2016-04-07 10:25:09,4056,联接基金,1361.0
349,9769,2016-04-27 10:25:09,3868,混合型,6230.0
350,9769,2016-04-27 10:25:09,3544,联接基金,4433.0
351,9770,2016-04-07 10:25:09,3469,货币型,4449.0
352,9770,2016-04-27 10:25:09,3581,定开债券,2705.0
353,9770,2016-04-07 10:25:09,3696,联接基金,2900.0
354,9770,2016-04-27 10:25:09,3629,定开债券,225.0
355,9770,2016-04-07 10:25:09,3440,货币型,818.0
356,9771,2016-04-07 10:25:09,3349,联接基金,5555.0
357,9771,2016-04-27 10:25:09,3699,QDII,160216.0
358,9771,2016-04-07 10:25:09,3777,货币型,4869.0
359,9771,2016-04-27 10:25:09,3363,定开债券,469.0
360,9771,2016-04-27 10:25:09,3823,QDII-指数,161127.0
361,9772,2016-04-27 10:25:09,3972,QDII,118001.0
362,9772,2016-04-27 10:25:09,3438,其他型,6127.0
363,9772,2016-04-07 10:25:09,3374,混合型,5827.0
364,9772,2016-04-07 10:25:09,3740,混合-FOF,6321.0
365,9772,2016-04-07 10:25:09,3468,QDII,378546.0
366,9773,2016-04-27 10:25:09,3840,定开债券,2740.0
367,9773,2016-04-27 10:25:09,3468,货币型,3316.0
368,9773,2016-04-27 10:25:09,3404,货币型,1374.0
369,9773,2016-04-27 10:25:09,3760,联接基金,5874.0
370,9773,2016-04-27 10:25:09,3917,定开债券,469.0
371,9773,2016-04-27 10:25:09,3601,定开债券,3683.0
372,9774,2016-04-07 10:25:09,3702,货币型,4684.0
373,9774,2016-04-07 10:25:09,3422,货币型,4060.0
374,9774,2016-04-07 10:25:09,3381,联接基金,6119.0
375,9774,2016-04-27 10:25:09,3734,理财型,485122.0
376,9774,2016-04-27 10:25:09,3943,货币型,161622.0
377,9774,2016-04-27 10:25:09,3854,混合-FOF,6290.0
378,9775,2016-04-07 10:25:09,3801,货币型,300.0
379,9775,2016-04-27 10:25:09,3611,联接基金,257060.0
380,9775,2016-04-27 10:25:09,3778,定开债券,817.0
381,9775,2016-04-27 10:25:09,3565,QDII,1936.0
382,9775,2016-04-27 10:25:09,4003,理财型,89.0
383,9775,2016-04-27 10:25:09,3937,货币型,2917.0
384,9776,2016-04-27 10:25:09,3460,定开债券,3093.0
385,9776,2016-04-07 10:25:09,3506,QDII,3243.0
386,9776,2016-04-07 10:25:09,4054,货币型,760.0
387,9776,2016-04-07 10:25:09,4060,联接基金,4643.0
388,9776,2016-04-27 10:25:09,3516,定开债券,3662.0
389,9776,2016-04-07 10:25:09,3655,联接基金,257060.0
390,9777,2016-04-07 10:25:09,3888,联接基金,202025.0
391,9777,2016-04-07 10:25:09,3401,联接基金,2984.0
392,9777,2016-04-07 10:25:09,3803,货币型,2324.0
393,9777,2016-04-27 10:25:09,3526,联接基金,5788.0
394,9777,2016-04-07 10:25:09,3954,QDII,161815.0
395,9778,2016-04-27 10:25:09,3898,QDII-指数,160213.0
396,9778,2016-04-07 10:25:09,3473,混合-FOF,6292.0
397,9778,2016-04-07 10:25:09,3864,QDII-指数,161714.0
398,9778,2016-04-27 10:25:09,3865,理财型,90023.0
399,9778,2016-04-27 10:25:09,3653,货币型,4251.0
400,9779,2016-04-07 10:25:09,3498,联接基金,5737.0
401,9779,2016-04-07 10:25:09,4038,联接基金,50021.0
402,9779,2016-04-27 10:25:09,3347,联接基金,4743.0
403,9779,2016-04-07 10:25:09,4055,货币型,873.0
404,9779,2016-04-27 10:25:09,3761,股票指数,5808.0
405,9780,2016-04-27 10:25:09,3581,其他型,808.0
406,9780,2016-04-27 10:25:09,3818,货币型,730003.0
407,9780,2016-04-27 10:25:09,3898,QDII-指数,161126.0
408,9780,2016-04-27 10:25:09,3404,联接基金,5832.0
409,9780,2016-04-07 10:25:09,3405,理财型,270046.0
410,9780,2016-04-07 10:25:09,3609,联接基金,88.0
411,9781,2016-04-07 10:25:09,3959,货币型,3460.0
412,9781,2016-04-27 10:25:09,3901,联接基金,4253.0
413,9781,2016-04-27 10:25:09,3987,联接基金,1469.0
414,9781,2016-04-07 10:25:09,4007,QDII,161815.0
415,9781,2016-04-27 10:25:09,3471,联接基金,2974.0
416,9782,2016-04-07 10:25:09,4060,QDII,470888.0
417,9782,2016-04-07 10:25:09,3850,QDII-指数,5676.0
418,9782,2016-04-07 10:25:09,3984,货币型,3678.0
419,9782,2016-04-27 10:25:09,3823,货币型,90022.0
420,9782,2016-04-07 10:25:09,3468,定开债券,2904.0
421,9783,2016-04-27 10:25:09,4002,货币型,3968.0
422,9783,2016-04-27 10:25:09,4003,定开债券,161619.0
423,9783,2016-04-27 10:25:09,3618,联接基金,5789.0
424,9783,2016-04-07 10:25:09,3348,货币型,5122.0
425,9783,2016-04-07 10:25:09,3987,货币型,519858.0
426,9783,2016-04-07 10:25:09,3555,混合型,166024.0
427,9784,2016-04-27 10:25:09,4036,货币型,2883.0
428,9784,2016-04-07 10:25:09,4006,QDII,2880.0
429,9784,2016-04-07 10:25:09,3735,QDII-指数,179.0
430,9784,2016-04-27 10:25:09,3682,联接基金,5788.0
431,9784,2016-04-07 10:25:09,4052,货币型,290001.0
432,9784,2016-04-07 10:25:09,3781,货币型,600.0
433,9785,2016-04-07 10:25:09,4039,QDII,4419.0
434,9785,2016-04-07 10:25:09,3904,货币型,253050.0
435,9785,2016-04-07 10:25:09,3616,QDII,5698.0
436,9785,2016-04-27 10:25:09,3608,联接基金,6196.0
437,9785,2016-04-07 10:25:09,3834,混合-FOF,6296.0
438,9785,2016-04-27 10:25:09,3696,定开债券,3092.0
439,9786,2016-04-07 10:25:09,4015,货币型,1666.0
440,9786,2016-04-27 10:25:09,3639,货币型,1991.0
441,9786,2016-04-27 10:25:09,3937,定开债券,4803.0
442,9786,2016-04-07 10:25:09,3937,货币型,874.0
443,9786,2016-04-27 10:25:09,3594,QDII,539003.0
444,9787,2016-04-07 10:25:09,3907,定开债券,268.0
445,9787,2016-04-07 10:25:09,3356,联接基金,4253.0
446,9787,2016-04-07 10:25:09,3484,货币型,528.0
447,9787,2016-04-27 10:25:09,3578,货币型,891.0
448,9787,2016-04-07 10:25:09,3859,混合-FOF,5156.0
449,9788,2016-04-27 10:25:09,4020,联接基金,519686.0
450,9788,2016-04-27 10:25:09,3474,定开债券,106.0
451,9788,2016-04-07 10:25:09,3541,其他型,4839.0
452,9788,2016-04-27 10:25:09,3925,定开债券,2781.0
453,9788,2016-04-27 10:25:09,3416,联接基金,70023.0
454,9789,2016-04-27 10:25:09,3455,混合-FOF,5759.0
455,9789,2016-04-27 10:25:09,3641,货币型,620010.0
456,9789,2016-04-27 10:25:09,3556,货币型,710501.0
457,9789,2016-04-27 10:25:09,3968,QDII,486001.0
458,9789,2016-04-07 10:25:09,3917,联接基金,4345.0
