,用户编码,用户类型,性别,开户时长,帐户余额,年龄,基金代码,基金类型,投资时间,投资金额,投资方式,手续费
72,15,C3,男,31,41885,41,003865,股票型,2018-07-26,3280,其他,875
73,15,C3,男,31,41885,41,460106,其他,2018-08-15,1702,申购,779
74,16,C3,女,31,44825,42,002620,混合型,2018-07-04,3004,申购,509
75,16,C3,女,31,44825,42,000011,混合型,2018-07-30,2709,定投,423
76,16,C3,女,31,44825,42,001375,混合型,2018-07-27,1635,定投,549
77,16,C3,女,31,44825,42,001758,混合型,2018-07-21,3606,定投,481
78,17,C1,女,26,53647,41,004813,股票型,2018-07-09,4084,定投,937
79,17,C1,女,26,53647,41,002036,混合型,2018-07-07,3466,定投,1037
80,17,C1,女,26,53647,41,005457,股票型,2018-07-26,3524,申购,752
81,17,C1,女,26,53647,41,000985,股票型,2018-07-17,2769,定投,1056
82,17,C1,女,26,53647,41,004813,股票型,2018-08-23,4542,认购,1151
83,17,C1,女,26,53647,41,005660,股票型,2018-08-20,4297,其他,759
84,18,C2,男,33,82008,41,001382,混合型,2018-07-02,6699,认购,816
85,18,C2,男,33,82008,41,006346,股票型,2018-08-17,7398,认购,692
86,18,C2,男,33,82008,41,001585,混合型,2018-08-15,5367,认购,687
87,19,C1,男,26,59509,41,000991,股票型,2018-07-18,2795,认购,795
88,19,C1,男,26,59509,41,001363,混合型,2018-07-07,3678,认购,667
89,19,C1,男,26,59509,41,001764,股票型,2018-07-09,3112,申购,1008
90,19,C1,男,26,59509,41,001194,混合型,2018-07-01,3631,其他,703
91,19,C1,男,26,59509,41,001208,股票型,2018-07-02,4756,申购,792
92,20,C1,男,27,42533,43,007523,股票型,2018-08-17,2766,申购,623
93,20,C1,男,27,42533,43,004851,股票型,2018-08-07,4970,其他,850
94,20,C1,男,27,42533,43,001790,股票型,2018-08-21,4843,认购,902
95,20,C1,男,27,42533,43,001645,股票型,2018-07-20,2910,认购,1199
96,20,C1,男,27,42533,43,519975,股票型,2018-07-09,4984,其他,1198
97,21,C3,男,31,53208,40,001972,混合型,2018-08-29,3477,其他,816
98,21,C3,男,31,53208,40,000294,混合型,2018-07-02,1920,定投,367
99,21,C3,男,31,53208,40,001097,股票型,2018-07-03,3651,其他,724
100,22,C1,男,27,57297,43,003634,股票型,2018-07-03,4401,定投,713
101,22,C1,男,27,57297,43,671030,股票型,2018-07-09,3031,申购,950
102,22,C1,男,27,57297,43,320020,股票型,2018-08-10,2671,其他,1181
103,22,C1,男,27,57297,43,001878,股票型,2018-08-22,4625,申购,976
104,22,C1,男,27,57297,43,001645,股票型,2018-08-29,3694,申购,883
105,22,C1,男,27,57297,43,001126,股票型,2018-07-29,4590,申购,686
106,22,C1,男,27,57297,43,002121,股票型,2018-07-15,4592,认购,1090
107,23,C1,男,26,52527,42,005496,股票型,2018-08-20,4028,认购,1150
108,23,C1,男,26,52527,42,005661,股票型,2018-08-17,3505,定投,822
109,23,C1,男,26,52527,42,001528,股票型,2018-07-18,4414,定投,668
110,23,C1,男,26,52527,42,001576,股票型,2018-08-22,4703,认购,832
111,23,C1,男,26,52527,42,001186,股票型,2018-08-11,2577,定投,1172
112,23,C1,男,26,52527,42,519714,股票型,2018-08-08,3019,申购,891
113,24,C3,男,33,59555,42,000167,混合型,2018-07-03,2326,定投,364
114,24,C3,男,33,59555,42,000761,股票型,2018-07-30,2126,其他,847
115,24,C3,男,33,59555,42,000966,混合型,2018-07-20,3228,申购,464
116,24,C3,男,33,59555,42,002616,混合型,2018-07-23,2987,定投,753
117,25,C1,女,27,53797,44,000418,股票型,2018-07-09,4367,认购,609
118,25,C1,女,27,53797,44,164205,股票型,2018-08-17,2966,认购,868
119,25,C1,女,27,53797,44,007615,股票型,2018-08-14,5038,其他,925
120,25,C1,女,27,53797,44,001396,股票型,2018-08-26,4689,认购,1085
121,25,C1,女,27,53797,44,005037,股票型,2018-08-30,3588,定投,698
122,25,C1,女,27,53797,44,003312,股票型,2018-07-24,4100,申购,945
123,26,C3,男,32,45780,43,000158,混合型,2018-07-10,1908,定投,730
124,26,C3,男,32,45780,43,004483,股票型,2018-07-05,2751,其他,806
125,26,C3,男,32,45780,43,001832,混合型,2018-07-10,2747,申购,750
126,27,C1,男,27,46342,41,004606,股票型,2018-08-17,4726,申购,922
127,27,C1,男,27,46342,41,000646,混合型,2018-07-02,4809,申购,807
128,27,C1,男,27,46342,41,000513,股票型,2018-07-31,2804,认购,1044
129,27,C1,男,27,46342,41,001719,股票型,2018-08-11,3557,认购,1148
130,27,C1,男,27,46342,41,004784,股票型,2018-07-06,4285,认购,769
131,27,C1,男,27,46342,41,003625,股票型,2018-08-06,3554,申购,627
132,28,C1,女,24,53210,40,519606,股票型,2018-08-05,2522,申购,972
133,28,C1,女,24,53210,40,001798,混合型,2018-07-21,2612,申购,878
134,28,C1,女,24,53210,40,005209,股票型,2018-08-14,4890,定投,857
135,28,C1,女,24,53210,40,000309,股票型,2018-07-05,5068,其他,654
136,28,C1,女,24,53210,40,006692,股票型,2018-08-18,2732,定投,620
137,28,C1,女,24,53210,40,001703,股票型,2018-08-24,3550,定投,606
138,28,C1,女,24,53210,40,001736,股票型,2018-07-21,2873,申购,719
139,29,C2,女,33,84570,46,001749,股票型,2018-08-31,9492,认购,910
140,29,C2,女,33,84570,46,002085,混合型,2018-07-04,5961,认购,828
141,29,C2,女,33,84570,46,001198,混合型,2018-07-17,8925,认购,985
142,29,C2,女,33,84570,46,001181,混合型,2018-08-12,5262,认购,762
143,30,C1,男,27,52379,41,000711,股票型,2018-07-26,2702,认购,1118
144,30,C1,男,27,52379,41,007130,股票型,2018-07-27,2710,其他,611
145,30,C1,男,27,52379,41,005962,股票型,2018-08-23,4875,申购,1097
146,30,C1,男,27,52379,41,000793,股票型,2018-08-12,4277,申购,639
147,30,C1,男,27,52379,41,002289,股票型,2018-08-16,3748,定投,844
148,30,C1,男,27,52379,41,001733,股票型,2018-07-24,4316,定投,940
149,31,C1,男,24,57980,43,003145,股票型,2018-08-02,3065,认购,954
150,31,C1,男,24,57980,43,005496,股票型,2018-07-25,2699,其他,907
151,31,C1,男,24,57980,43,005969,股票型,2018-08-08,3554,定投,1022
152,31,C1,男,24,57980,43,003624,股票型,2018-08-28,4237,认购,684
153,31,C1,男,24,57980,43,519935,股票型,2018-08-18,5007,认购,971
154,31,C1,男,24,57980,43,001040,股票型,2018-07-01,3657,申购,897
155,32,C3,女,35,52421,43,001419,混合型,2018-08-10,1663,申购,440
156,32,C3,女,35,52421,43,001503,混合型,2018-08-15,2633,其他,593
157,32,C3,女,35,52421,43,001997,混合型,2018-07-16,3630,定投,415
158,32,C3,女,35,52421,43,000924,混合型,2018-08-21,1502,其他,392
159,32,C3,女,35,52421,43,001838,混合型,2018-08-21,2575,定投,300
160,33,C2,男,32,85347,40,001364,混合型,2018-07-25,4816,认购,802
161,33,C2,男,32,85347,40,160322,股票型,2018-07-12,7374,认购,829
162,33,C2,男,32,85347,40,001076,混合型,2018-07-10,5431,定投,1115
163,33,C2,男,32,85347,40,001050,股票型,2018-07-04,7030,认购,430
164,33,C2,男,32,85347,40,001917,股票型,2018-08-08,7797,认购,1185
165,34,C1,男,24,57891,42,002334,股票型,2018-07-18,3183,认购,777
166,34,C1,男,24,57891,42,003299,股票型,2018-07-28,2802,定投,818
167,34,C1,男,24,57891,42,003190,股票型,2018-07-28,4246,申购,948
168,34,C1,男,24,57891,42,003232,股票型,2018-07-18,4880,申购,1133
169,34,C1,男,24,57891,42,002332,股票型,2018-07-01,3278,认购,781
170,35,C1,男,27,50613,40,003054,股票型,2018-07-02,4993,定投,1071
171,35,C1,男,27,50613,40,002068,混合型,2018-07-22,2969,其他,636
172,35,C1,男,27,50613,40,004997,股票型,2018-08-06,3113,申购,822
173,35,C1,男,27,50613,40,001626,股票型,2018-07-21,4728,定投,944
174,35,C1,男,27,50613,40,007615,股票型,2018-08-25,3877,申购,669
175,35,C1,男,27,50613,40,005826,股票型,2018-08-04,4885,认购,674
176,35,C1,男,27,50613,40,004484,股票型,2018-08-23,2775,定投,821
177,36,C3,男,33,55979,43,002224,混合型,2018-07-20,2441,申购,684
178,36,C3,男,33,55979,43,000878,混合型,2018-08-17,2898,定投,512
179,36,C3,男,33,55979,43,001623,混合型,2018-07-19,2435,定投,802
180,37,C1,男,26,58780,40,000577,股票型,2018-08-03,3707,认购,1113
181,37,C1,男,26,58780,40,005457,股票型,2018-08-29,4659,申购,860
182,37,C1,男,26,58780,40,007287,股票型,2018-07-01,4714,定投,1060
183,37,C1,男,26,58780,40,000539,其他,2018-07-25,3786,认购,717
184,37,C1,男,26,58780,40,001230,股票型,2018-07-24,3818,认购,1164
185,37,C1,男,26,58780,40,001230,股票型,2018-08-07,4002,认购,647
186,38,C1,女,27,59541,40,004041,股票型,2018-08-31,4630,认购,818
187,38,C1,女,27,59541,40,001877,股票型,2018-07-07,3117,认购,1150
188,38,C1,女,27,59541,40,002387,股票型,2018-08-06,3483,认购,713
189,38,C1,女,27,59541,40,001167,股票型,2018-07-30,4493,认购,1028
190,38,C1,女,27,59541,40,005960,股票型,2018-07-31,2739,其他,1038
191,39,C3,男,35,45564,43,100025,其他,2018-07-20,2270,定投,367
192,39,C3,男,35,45564,43,000954,混合型,2018-07-21,2370,定投,678
193,39,C3,男,35,45564,43,002017,混合型,2018-07-19,1561,申购,562
194,40,C3,女,34,40754,40,002075,混合型,2018-07-10,3091,其他,804
195,40,C3,女,34,40754,40,001782,混合型,2018-08-10,2651,申购,452
196,40,C3,女,34,40754,40,001633,混合型,2018-07-15,2688,其他,877
197,40,C3,女,34,40754,40,001311,混合型,2018-08-03,3586,定投,777
198,40,C3,女,34,40754,40,001074,混合型,2018-08-18,1862,申购,609
199,41,C1,男,23,42665,44,001396,股票型,2018-07-14,3375,认购,1002
200,41,C1,男,23,42665,44,005457,股票型,2018-08-03,2638,认购,905
201,41,C1,男,23,42665,44,001171,股票型,2018-07-03,3758,申购,1054
202,41,C1,男,23,42665,44,519606,股票型,2018-08-30,3252,认购,710
203,41,C1,男,23,42665,44,000979,股票型,2018-07-12,3914,认购,887
204,42,C1,男,24,50199,40,000577,股票型,2018-07-25,4596,定投,1005
205,42,C1,男,24,50199,40,001685,股票型,2018-07-18,2667,申购,641
206,42,C1,男,24,50199,40,005636,股票型,2018-07-11,4931,申购,725
207,42,C1,男,24,50199,40,000514,股票型,2018-08-02,4450,申购,775
208,42,C1,男,24,50199,40,002980,股票型,2018-08-23,2960,认购,1109
209,42,C1,男,24,50199,40,001230,股票型,2018-07-19,3121,申购,713
210,43,C1,男,27,49167,44,001252,混合型,2018-07-24,3995,定投,1093
211,43,C1,男,27,49167,44,005328,股票型,2018-07-21,4945,认购,776
212,43,C1,男,27,49167,44,006868,股票型,2018-08-01,3173,申购,1134
213,43,C1,男,27,49167,44,001208,股票型,2018-08-14,3081,申购,774
214,43,C1,男,27,49167,44,003745,股票型,2018-07-24,4435,其他,934
215,43,C1,男,27,49167,44,001277,股票型,2018-07-18,4733,其他,1005
216,43,C1,男,27,49167,44,001396,股票型,2018-08-29,3268,定投,650
217,44,C2,女,32,88313,42,001583,股票型,2018-08-26,9046,认购,1044
218,44,C2,女,32,88313,42,001150,混合型,2018-08-06,8694,认购,1125
219,44,C2,女,32,88313,42,001143,混合型,2018-07-27,4726,认购,1011
220,44,C2,女,32,88313,42,001437,混合型,2018-07-19,7283,认购,510
221,44,C2,女,32,88313,42,002116,混合型,2018-07-14,5270,认购,568
222,45,C3,男,31,56041,41,005620,股票型,2018-07-25,3729,申购,502
223,45,C3,男,31,56041,41,001662,混合型,2018-08-26,1544,申购,586
224,45,C3,男,31,56041,41,001102,混合型,2018-07-08,1930,定投,641
225,46,C1,女,23,42023,42,005928,股票型,2018-07-27,4843,认购,775
226,46,C1,女,23,42023,42,167703,股票型,2018-07-03,3134,其他,627
227,46,C1,女,23,42023,42,003625,股票型,2018-07-13,3436,申购,922
228,46,C1,女,23,42023,42,007130,股票型,2018-07-19,3791,认购,661
229,46,C1,女,23,42023,42,167702,股票型,2018-07-31,4975,认购,777
230,46,C1,女,23,42023,42,001678,股票型,2018-07-17,3939,定投,1149
231,47,C2,男,32,96299,44,001276,混合型,2018-08-30,6000,认购,1187
232,47,C2,男,32,96299,44,006803,股票型,2018-08-20,9036,认购,845
233,47,C2,男,32,96299,44,002332,股票型,2018-08-08,8570,认购,439
234,48,C2,男,32,84872,41,002227,混合型,2018-08-15,8801,认购,696
235,48,C2,男,32,84872,41,001537,混合型,2018-08-03,8235,认购,402
236,48,C2,男,32,84872,41,000780,股票型,2018-07-25,5126,认购,944
237,49,C1,男,25,50977,44,005328,股票型,2018-07-26,3331,申购,793
238,49,C1,男,25,50977,44,005188,股票型,2018-08-30,4052,定投,640
239,49,C1,男,25,50977,44,006751,股票型,2018-07-26,3440,认购,896
240,49,C1,男,25,50977,44,004292,股票型,2018-08-07,3387,其他,666
241,49,C1,男,25,50977,44,540006,股票型,2018-07-09,3161,定投,828
242,49,C1,男,25,50977,44,006671,股票型,2018-08-06,3211,定投,685
243,49,C1,男,25,50977,44,001319,股票型,2018-08-30,2633,定投,945
244,50,C3,男,35,46066,41,001489,混合型,2018-08-06,2132,申购,793
245,50,C3,男,35,46066,41,000432,混合型,2018-07-18,1916,定投,333
246,50,C3,男,35,46066,41,002535,混合型,2018-08-16,1755,其他,687
247,50,C3,男,35,46066,41,002165,混合型,2018-08-28,2490,申购,658
248,50,C3,男,35,46066,41,005161,股票型,2018-07-19,2566,申购,818
249,51,C3,男,33,56632,43,000433,混合型,2018-07-29,2340,其他,764
250,51,C3,男,33,56632,43,001692,股票型,2018-08-06,3505,定投,625
251,51,C3,男,33,56632,43,006604,股票型,2018-07-09,3197,定投,811
252,51,C3,男,33,56632,43,002562,混合型,2018-07-13,2506,申购,355
253,52,C1,男,25,52738,43,000892,混合型,2018-08-08,5049,认购,773
254,52,C1,男,25,52738,43,001956,股票型,2018-07-09,2875,申购,977
255,52,C1,男,25,52738,43,005825,股票型,2018-08-25,3327,其他,784
256,52,C1,男,25,52738,43,004404,股票型,2018-07-07,4359,其他,807
257,52,C1,男,25,52738,43,003834,股票型,2018-07-19,3442,认购,893
258,53,C1,女,27,56686,43,002229,股票型,2018-07-31,4752,认购,762
259,53,C1,女,27,56686,43,005161,股票型,2018-07-18,4403,其他,835
260,53,C1,女,27,56686,43,005496,股票型,2018-08-04,4907,申购,885
261,53,C1,女,27,56686,43,000893,股票型,2018-07-23,3374,其他,1002
262,53,C1,女,27,56686,43,005035,股票型,2018-07-10,2842,其他,944
263,53,C1,女,27,56686,43,003865,股票型,2018-07-06,3120,定投,772
264,53,C1,女,27,56686,43,000916,股票型,2018-08-07,2522,认购,1080
265,54,C1,男,26,51891,43,003232,股票型,2018-07-16,4514,认购,779
266,54,C1,男,26,51891,43,000326,股票型,2018-07-26,3558,其他,1044
267,54,C1,男,26,51891,43,000751,股票型,2018-07-04,4452,认购,759
268,54,C1,男,26,51891,43,006818,股票型,2018-07-17,4898,定投,896
269,54,C1,男,26,51891,43,001717,股票型,2018-07-01,4514,定投,744
270,54,C1,男,26,51891,43,001166,股票型,2018-08-04,4409,其他,764
271,54,C1,男,26,51891,43,004813,股票型,2018-08-13,3726,认购,1058
272,55,C2,女,33,99471,43,002003,混合型,2018-07-30,9533,认购,1086
273,55,C2,女,33,99471,43,000220,混合型,2018-08-10,4602,认购,489
274,55,C2,女,33,99471,43,000541,混合型,2018-08-15,8101,认购,1076
275,55,C2,女,33,99471,43,003853,股票型,2018-08-20,5231,认购,566
276,56,C3,男,32,50475,41,001511,混合型,2018-07-20,1832,其他,575
277,56,C3,男,32,50475,41,002495,混合型,2018-07-17,2432,其他,375
278,56,C3,男,32,50475,41,001179,混合型,2018-07-14,3537,其他,711
279,56,C3,男,32,50475,41,000690,混合型,2018-07-09,2678,定投,562
280,57,C2,男,35,83563,43,001825,股票型,2018-07-08,8940,认购,1059
281,57,C2,男,35,83563,43,004483,股票型,2018-07-23,5368,认购,589
282,57,C2,男,35,83563,43,001322,混合型,2018-08-14,9544,认购,487
283,57,C2,男,35,83563,43,001273,混合型,2018-07-25,8568,认购,757
284,57,C2,男,35,83563,43,000688,股票型,2018-08-31,7998,认购,825
285,58,C1,男,24,46124,43,001626,股票型,2018-07-13,4453,定投,878
286,58,C1,男,24,46124,43,005777,股票型,2018-07-15,3242,认购,957
287,58,C1,男,24,46124,43,005033,股票型,2018-07-23,3561,定投,742
288,58,C1,男,24,46124,43,004404,股票型,2018-07-20,4091,申购,1180
289,58,C1,男,24,46124,43,001291,股票型,2018-07-12,4131,认购,1010
290,58,C1,男,24,46124,43,005894,股票型,2018-08-20,4652,认购,1170
291,58,C1,男,24,46124,43,006347,股票型,2018-07-16,2648,其他,773
292,59,C3,女,33,40464,40,000336,混合型,2018-07-06,1672,申购,614
293,59,C3,女,33,40464,40,000788,混合型,2018-07-08,2859,其他,470
294,59,C3,女,33,40464,40,001119,混合型,2018-07-04,2655,定投,384
295,60,C1,男,26,57214,40,006194,股票型,2018-07-22,4234,认购,1115
296,60,C1,男,26,57214,40,519606,股票型,2018-07-26,3030,定投,878
297,60,C1,男,26,57214,40,001645,股票型,2018-07-25,2561,申购,1153
298,60,C1,男,26,57214,40,001764,股票型,2018-07-04,3428,申购,688
299,60,C1,男,26,57214,40,004784,股票型,2018-08-05,3837,申购,702
300,60,C1,男,26,57214,40,004606,股票型,2018-07-08,5030,认购,789
301,61,C1,男,24,41364,44,006781,股票型,2018-08-22,3546,认购,1022
302,61,C1,男,24,41364,44,000925,股票型,2018-08-31,4199,申购,1072
303,61,C1,男,24,41364,44,002117,混合型,2018-07-21,5066,其他,1098
304,61,C1,男,24,41364,44,006228,股票型,2018-07-27,3393,认购,976
305,61,C1,男,24,41364,44,002871,股票型,2018-08-12,3902,认购,811
306,61,C1,男,24,41364,44,001040,股票型,2018-07-02,3598,申购,1112
307,62,C3,男,35,46256,43,001817,混合型,2018-07-14,1968,定投,359
308,62,C3,男,35,46256,43,001797,混合型,2018-08-15,3569,申购,818
309,62,C3,男,35,46256,43,001119,混合型,2018-08-31,1531,定投,495
310,62,C3,男,35,46256,43,002513,混合型,2018-08-20,1673,定投,385
311,63,C1,男,24,47222,44,001643,股票型,2018-08-24,3517,定投,680
312,63,C1,男,24,47222,44,005009,股票型,2018-07-29,4901,认购,748
313,63,C1,男,24,47222,44,001781,股票型,2018-07-28,4022,申购,925
314,63,C1,男,24,47222,44,002168,股票型,2018-08-20,3552,其他,692
315,63,C1,男,24,47222,44,001645,股票型,2018-08-16,4241,认购,847
316,63,C1,男,24,47222,44,004606,股票型,2018-08-16,2986,申购,809
317,63,C1,男,24,47222,44,000803,股票型,2018-08-05,3559,定投,931
318,64,C1,女,24,54189,44,003492,股票型,2018-07-25,2554,认购,1010
319,64,C1,女,24,54189,44,006346,股票型,2018-07-14,4411,定投,1200
320,64,C1,女,24,54189,44,000866,股票型,2018-08-15,2637,认购,1011
321,64,C1,女,24,54189,44,005961,股票型,2018-08-30,4575,申购,707
322,64,C1,女,24,54189,44,000457,股票型,2018-07-21,3534,认购,740
323,65,C1,男,26,52038,43,001313,股票型,2018-08-14,4823,申购,887
324,65,C1,男,26,52038,43,005189,股票型,2018-08-25,2515,认购,1084
325,65,C1,男,26,52038,43,673090,股票型,2018-07-20,2986,其他,1185
326,65,C1,男,26,52038,43,001178,股票型,2018-08-31,4441,定投,823
327,65,C1,男,26,52038,43,006675,股票型,2018-08-29,2618,认购,1127
328,65,C1,男,26,52038,43,001042,股票型,2018-08-10,3192,定投,1004
329,66,C1,女,27,49748,44,000854,股票型,2018-07-28,2662,其他,656
330,66,C1,女,27,49748,44,000778,股票型,2018-07-20,2925,认购,1012
331,66,C1,女,27,49748,44,002332,股票型,2018-08-19,4420,认购,630
332,66,C1,女,27,49748,44,001490,股票型,2018-08-24,4763,申购,736
333,66,C1,女,27,49748,44,003834,股票型,2018-08-29,5045,其他,994
334,67,C2,女,32,97659,42,200103,其他,2018-08-28,7648,认购,407
335,67,C2,女,32,97659,42,004273,股票型,2018-07-01,4945,认购,1191
336,67,C2,女,32,97659,42,000996,股票型,2018-08-12,7748,认购,1197
337,67,C2,女,32,97659,42,001883,混合型,2018-08-15,8264,认购,1030
338,67,C2,女,32,97659,42,001837,混合型,2018-08-11,7860,认购,481
339,68,C3,男,31,40519,42,002584,混合型,2018-08-03,3632,定投,347
340,68,C3,男,31,40519,42,000577,股票型,2018-08-22,3652,定投,562
341,68,C3,男,31,40519,42,001853,混合型,2018-08-07,3015,其他,846
342,69,C1,女,27,42737,41,164205,股票型,2018-07-17,2698,认购,1036
343,69,C1,女,27,42737,41,001528,股票型,2018-08-25,2732,其他,948
344,69,C1,女,27,42737,41,000729,股票型,2018-08-31,3151,申购,944
345,69,C1,女,27,42737,41,007614,股票型,2018-08-27,3931,申购,812
346,69,C1,女,27,42737,41,000893,股票型,2018-08-17,5030,定投,771
347,69,C1,女,27,42737,41,001468,混合型,2018-08-13,3117,申购,923
348,69,C1,女,27,42737,41,005038,股票型,2018-07-23,4197,申购,600
349,70,C1,女,27,56302,41,540009,股票型,2018-07-17,2710,认购,1036
350,70,C1,女,27,56302,41,007590,股票型,2018-08-24,4309,申购,1165
351,70,C1,女,27,56302,41,006981,股票型,2018-08-19,4763,申购,1107
352,70,C1,女,27,56302,41,671030,股票型,2018-07-27,3073,认购,1162
353,70,C1,女,27,56302,41,006251,股票型,2018-08-30,4753,定投,764
354,70,C1,女,27,56302,41,167703,股票型,2018-07-30,2722,定投,732
355,71,C4,女,29,81794,42,005346,债券型,2018-07-27,7427,申购,2276
356,71,C4,女,29,81794,42,000024,债券型,2018-08-25,12147,定投,2531
357,72,C1,女,24,54076,43,006604,股票型,2018-07-09,4206,申购,891
358,72,C1,女,24,54076,43,000471,股票型,2018-07-28,2758,其他,868
359,72,C1,女,24,54076,43,006257,股票型,2018-08-09,3313,定投,951
360,72,C1,女,24,54076,43,003625,股票型,2018-08-23,4076,认购,1112
361,72,C1,女,24,54076,43,005035,股票型,2018-07-12,4116,认购,1123
362,73,C3,女,33,45560,41,001917,股票型,2018-08-03,3443,定投,432
