Index,FundCode,Sim1,name,type,Sim2
43,57,ZYXFZTHH,中银消费主题混合,混合型,ZHONGYINXIAOFEIZHUTIHUNHE
44,58,GLAATLHPZHH,国联安安泰灵活配置混合,混合型,GUOLIANANANTAILINGHUOPEIZHIHUNHE
45,59,GLAZZYY100A,国联安中证医药100A,股票指数,GUOLIANANZHONGZHENGYIYAO100A
46,61,HXSSHH,华夏盛世混合,混合型,HUAXIASHENGSHIHUNHE
47,63,CSDZXXZTLHPZHH,长盛电子信息主题灵活配置混合,混合型,CHANGSHENGDIANZIXINXIZHUTILINGHUOPEIZHIHUNHE
48,64,DM18GYDKZ,大摩18个月定开债,定开债券,DAMO18GEYUEDINGKAIZHAI
49,65,GFJDQDHH,国富焦点驱动混合,混合型,GUOFUJIAODIANQUDONGHUNHE
50,66,NAHXHH,诺安鸿鑫混合,混合型,NUOANHONGXINHUNHE
51,67,MSJYZZYXA,民生加银转债优选A,债券型,MINSHENGJIAYINZHUANZHAIYOUXUANA
52,68,MSJYZZYXC,民生加银转债优选C,债券型,MINSHENGJIAYINZHUANZHAIYOUXUANC
53,69,GTRYZGDJZQA,国投瑞银中高等级债券A,债券型,GUOTOURUIYINZHONGGAODENGJIZHAIQUANA
54,70,GTRYZGDJZQC,国投瑞银中高等级债券C,债券型,GUOTOURUIYINZHONGGAODENGJIZHAIQUANC
55,71,HXHSETFLJA,华夏恒生ETF联接A,QDII-指数,HUAXIAHENGSHENGETFLIANJIEA
56,72,HAWJHBHH,华安稳健回报混合,混合型,HUAANWENJIANHUIBAOHUNHE
57,73,STMGCZDLHH,上投摩根成长动力混合,混合型,SHANGTOUMOGENCHENGZHANGDONGLIHUNHE
58,74,GYXYCZYNDKZA,工银信用纯债一年定开债A,定开债券,GONGYINXINYONGCHUNZHAIYINIANDINGKAIZHAIA
59,75,HXHSETFLJXH,华夏恒生ETF联接现汇,QDII-指数,HUAXIAHENGSHENGETFLIANJIEXIANHUI
60,76,HXHSETFLJXC,华夏恒生ETF联接现钞,QDII-指数,HUAXIAHENGSHENGETFLIANJIEXIANCHAO
61,77,GYXYCZYNDKZC,工银信用纯债一年定开债C,定开债券,GONGYINXINYONGCHUNZHAIYINIANDINGKAIZHAIC
62,78,GYXYCZLNDKZA,工银信用纯债两年定开债A,定开债券,GONGYINXINYONGCHUNZHAILIANGNIANDINGKAIZHAIA
63,79,GYXYCZLNDKZC,工银信用纯债两年定开债C,定开债券,GONGYINXINYONGCHUNZHAILIANGNIANDINGKAIZHAIC
64,80,TZKZZZQZQA,天治可转债增强债券A,债券型,TIANZHIKEZHUANZHAIZENGQIANGZHAIQUANA
65,81,TZKZZZQZQC,天治可转债增强债券C,债券型,TIANZHIKEZHUANZHAIZENGQIANGZHAIQUANC
66,82,JSYJAEFGP,嘉实研究阿尔法股票,股票型,JIASHIYANJIUAERFAGUPIAO
67,83,HTFXFHYHH,汇添富消费行业混合,混合型,HUITIANFUXIAOFEIHANGYEHUNHE
