,Unnamed: 0,FundCode,名称,类型,近1月收益,近1年收益,近3年收益,风险等级,基金规模
44,44,83,汇添富消费行业混合,4,0.0302,0.4667,0.8716,中高风险,65.19亿元
45,45,84,博时安盈债券A,2,0.0038,0.0421,0.1007,中低风险,12.83亿元
46,46,85,博时安盈债券C,2,0.0036,0.0388,0.0884,中低风险,76.26亿元
47,47,91,信诚新双盈分级债券,2,0.0158,0.0426,0.0162,无,0.12亿元
48,48,104,华宸未来稳健添利债券A,2,0.0146,0.0456,0.0377,中低风险,0.10亿元
49,49,107,富国稳健增强债券A/B,2,0.0131,0.0843,0.1337,中风险,1.42亿元
50,50,109,富国稳健增强债券C,2,0.0124,0.0794,0.1191,中风险,0.20亿元
51,51,110,金鹰元安混合A,4,0.012,0.1064,0.139,中高风险,2.96亿元
52,52,117,广发轮动配置混合,4,0.0402,0.3425,0.137,中高风险,8.92亿元
53,53,118,广发聚鑫债券A,2,0.038,0.1264,0.1101,中风险,4.62亿元
54,54,119,广发聚鑫债券C,2,0.0382,0.1239,0.0991,中风险,2.00亿元
55,55,120,中银美丽中国混合,4,-0.0181,0.1122,0.0375,中高风险,0.38亿元
56,56,121,华夏永福混合A,4,0.0432,0.0946,0.126,中高风险,3.02亿元
57,57,122,汇添富实业债债券A,2,0.0149,0.0576,0.059,中低风险,1.16亿元
58,58,123,汇添富实业债债券C,2,0.0145,0.0525,0.0443,中低风险,0.19亿元
59,59,124,华宝服务优选混合,4,0.0852,0.1008,-0.0217,中高风险,11.93亿元
60,60,126,招商安润混合,4,0.1208,0.1852,0.2016,中高风险,2.18亿元
61,61,127,农银行业领先混合,4,0.0762,0.1219,0.3405,中高风险,15.59亿元
62,62,128,大成景安短融债券A,2,0.0058,0.0305,0.1179,中低风险,12.79亿元
63,63,129,大成景安短融债券B,2,0.0061,0.0335,0.1283,中低风险,11.15亿元
64,64,130,大成景兴信用债债券A,2,0.0064,0.0435,0.12,中风险,3.62亿元
65,65,131,大成景兴信用债债券C,2,0.0061,0.0397,0.1069,中风险,1.69亿元
66,66,136,民生加银策略精选混合,4,0.1283,0.2418,0.1983,中高风险,4.00亿元
67,67,139,富国国有企业债债券A/B,2,0.004,0.0424,0.1102,中低风险,6.76亿元
68,68,141,富国国有企业债债券C,2,0.0037,0.0379,0.0987,中低风险,0.75亿元
69,69,142,融通增强收益债券A,2,0.0075,0.0318,0.0615,中风险,10.18亿元
70,70,143,鹏华双债加利债券,2,0.0175,0.0926,0.1029,中风险,0.51亿元
71,71,147,易方达高等级信用债债券A,2,0.0104,0.0779,0.1246,中低风险,47.53亿元
72,72,148,易方达高等级信用债债券C,2,0.0095,0.0736,0.133,中低风险,15.04亿元
73,73,149,华安双债添利债券A,2,0.0044,0.0525,0.0933,中低风险,2.24亿元
74,74,150,华安双债添利债券C,2,0.0041,0.0491,0.0812,中低风险,1.00亿元
75,75,152,大成景旭纯债债券A,2,0.0052,0.051,0.1025,中低风险,0.10亿元
76,76,153,大成景旭纯债债券C,2,0.0049,0.0474,0.0894,中低风险,1.41亿元
77,77,165,国投瑞银策略精选混合,4,0.0491,0.1398,0.1889,中高风险,5.43亿元
78,78,166,中海信息产业精选混合,4,0.1051,0.1728,0.1272,中高风险,0.36亿元
79,79,167,广发聚优灵活配置混合A,4,0.071,0.3744,0.4642,中高风险,3.06亿元
80,80,171,易方达裕丰回报债券,2,0.0184,0.0965,0.2012,无,37.30亿元
81,81,172,华泰柏瑞量化增强混合A,4,0.0022,0.1406,0.2013,中高风险,51.20亿元
82,82,173,汇添富美丽30混合,4,0.0226,0.1764,0.2389,中高风险,75.99亿元
83,83,174,汇添富高息债债券A,2,0.0133,0.0896,0.1239,中低风险,2.11亿元
84,84,175,汇添富高息债债券C,2,0.0127,0.0852,0.08,中低风险,1.21亿元
85,85,181,景顺长城四季金利债券A,2,0.006,0.065,0.1027,中风险,0.56亿元
86,86,182,景顺长城四季金利债券C,2,0.0061,0.0622,0.0916,中风险,0.03亿元
87,87,184,工银添福债券A,2,0.0062,-0.0112,-0.0492,中风险,8.23亿元
88,88,185,工银添福债券B,2,0.0055,0.0073,-0.0392,中风险,0.22亿元
89,89,186,华泰柏瑞季季红债券,2,0.0085,0.0632,0.156,中低风险,11.16亿元
90,90,187,华泰柏瑞丰盛纯债债券A,2,0.01,0.0606,0.146,中低风险,4.55亿元
91,91,188,华泰柏瑞丰盛纯债债券C,2,0.0097,0.0562,0.1321,中低风险,0.34亿元
92,92,189,易方达丰华债券A,2,0.0209,0.0375,0.0984,中风险,1.89亿元
93,93,190,中银新回报灵活配置混合,4,0.046,0.0913,0.2355,中高风险,5.09亿元
94,94,191,富国信用债债券A/B,2,0.0079,0.0699,0.124,中低风险,66.49亿元
95,95,192,富国信用债债券C,2,0.0077,0.0665,0.1105,中低风险,2.38亿元
96,96,194,银华信用四季红债券A,2,0.0065,0.0556,0.0997,中低风险,5.86亿元
97,97,195,工银成长收益混合A,4,0.0283,0.0725,0.1205,中高风险,21.55亿元
98,98,196,工银成长收益混合B,4,0.028,0.0647,0.0987,中高风险,1.50亿元
99,99,198,天弘余额宝货币,3,0.0019,0.0251,0.1011,无,10335.63亿元
100,100,199,国泰量化策略收益混合,4,0.0002,0.1586,-0.0686,中高风险,0.46亿元
101,101,203,国富日日收益货币A,3,0.0016,0.024,0.0936,低风险,0.82亿元
102,102,204,国富日日收益货币B,3,0.0018,0.0265,0.1015,低风险,2.63亿元
103,103,205,易方达投资级信用债债券A,2,0.0088,0.0627,0.0987,中低风险,13.45亿元
104,104,206,易方达投资级信用债债券C,2,0.0089,0.06,0.0938,中低风险,2.54亿元
105,105,207,建信双债增强债券A,2,0.0041,0.0506,-0.0407,中风险,0.33亿元
106,106,208,建信双债增强债券C,2,0.0034,0.0472,-0.0515,中风险,0.20亿元
107,107,209,信诚新兴产业混合,4,0.0748,0.1076,-0.2927,中高风险,0.13亿元
108,108,210,光大现金宝货币A,3,0.0018,0.0245,0.0965,低风险,0.94亿元
109,109,211,光大现金宝货币B,3,0.0021,0.0269,0.1045,低风险,93.08亿元
110,110,214,广发成长优选混合,4,0.0073,0.1031,0.112,中高风险,0.69亿元
111,111,215,广发趋势优选灵活配置混合,4,0.0026,0.0838,0.2513,中高风险,2.85亿元
112,112,219,博时裕益混合,4,0.0695,0.1616,0.1285,中高风险,5.88亿元
113,113,220,富国医疗保健行业混合,4,0.1084,0.3346,0.222,中高风险,14.95亿元
114,114,236,工银月月薪定期支付债券A,2,0.0289,0.0553,0.0661,中风险,4.00亿元
115,115,241,宝盈核心优势混合C,4,0.1107,0.2737,-0.0116,无,0.15亿元
116,116,242,景顺长城策略精选灵活配置混合,4,0.067,0.2598,0.1902,中高风险,1.82亿元
117,117,251,工银金融地产混合,4,-0.0117,0.2907,0.3884,中高风险,37.22亿元
118,118,252,景顺长城景兴信用纯债债券A,2,0.0033,0.0497,0.0579,中低风险,21.24亿元
119,119,253,景顺长城景兴信用纯债债券C,2,0.0025,0.0442,0.0442,中低风险,0.08亿元
120,120,256,上投摩根红利回报混合A,4,0.0102,0.0376,0.0234,中高风险,0.31亿元
121,121,259,农银区间收益混合,4,0.074,0.1695,0.2324,中高风险,7.10亿元
122,122,263,工银信息产业混合,4,0.1233,0.3197,0.0018,中高风险,5.29亿元
123,123,264,博时内需增长混合,4,0.0311,0.1283,-0.1069,中高风险,2.33亿元
124,124,273,华润元大安鑫灵活配置混合A,4,0.0301,0.1437,0.0753,中高风险,0.83亿元
125,125,279,华商红利优选混合,4,0.0477,0.0342,0.0784,中高风险,2.74亿元
126,126,286,银华信用季季红债券A,2,0.0067,0.0534,0.1741,中低风险,38.57亿元
127,127,294,华安生态优先混合,4,0.0252,0.4501,0.6246,中高风险,5.10亿元
128,128,297,鹏华可转债债券,2,0.0481,0.1344,0.077,中高风险,0.80亿元
129,129,298,中海纯债债券A,2,0.0046,0.0482,0.0313,中低风险,0.25亿元
130,130,299,中海纯债债券C,2,0.0047,0.046,0.022,中低风险,0.38亿元
131,131,300,德邦德利货币A,3,0.0017,0.0234,0.0944,低风险,0.89亿元
132,132,301,德邦德利货币B,3,0.0019,0.0259,0.1023,低风险,29.59亿元
133,133,305,中银中高等级A,2,0.0085,0.0671,0.1158,中低风险,60.03亿元
134,134,306,天弘弘利债券,2,0.0057,0.0337,0.066,中风险,20.36亿元
135,135,308,建信创新中国混合,4,0.0167,0.3598,0.1972,中高风险,1.15亿元
136,136,309,大摩品质生活精选股票,1,0.0521,0.2214,0.0631,高风险,4.29亿元
137,137,314,招商瑞丰灵活配置混合发起式A,4,0.0072,0.0961,0.1321,中高风险,0.17亿元
138,138,316,中海惠利分级债券,2,-0.0033,0.0111,-0.0059,无,0.25亿元
139,139,319,泰达淘利债券A,2,0.006,0.0537,0.1182,中低风险,2.55亿元
140,140,320,泰达淘利债券C,2,0.0058,0.0509,0.1093,中低风险,2.94亿元
141,141,324,华润元大现金收益货币A,3,0.0017,0.022,0.0922,低风险,0.42亿元
142,142,325,华润元大现金收益货币B,3,0.0019,0.0244,0.1001,低风险,4.48亿元
143,143,326,南方中小盘成长股票,1,0.0434,0.0939,0.1228,高风险,1.86亿元
144,144,327,南方新蓝筹混合,4,0.0425,0.22,0.2794,中高风险,2.30亿元
145,145,328,上投摩根转型动力灵活配置混合,4,0.1074,0.1589,-0.045,中高风险,5.06亿元
146,146,330,汇添富现金宝货币,3,0.002,0.0299,0.1106,无,502.34亿元
147,147,331,中加货币A,3,0.002,0.0264,0.1031,低风险,13.99亿元
148,148,332,中加货币C,3,0.0022,0.0289,0.1111,低风险,208.28亿元
149,149,333,长城稳固收益债券A,2,0.027,0.0468,0.0811,中风险,0.14亿元
150,150,334,长城稳固收益债券C,2,0.0267,0.0403,0.064,中风险,0.06亿元
151,151,336,农银研究精选混合,4,0.0945,0.1074,-0.216,中高风险,2.11亿元
152,152,338,鹏华双债保利债券,2,0.0163,0.0689,0.1356,中风险,1.80亿元
153,153,339,长城医疗保健混合,4,0.0881,0.3315,0.407,中高风险,1.22亿元
154,154,343,华夏财富宝货币A,3,0.0021,0.0289,0.1088,无,678.90亿元
155,155,354,长盛城镇化主题混合,4,0.0619,0.0739,-0.1351,中高风险,0.59亿元
156,156,355,南方丰元信用增强债券A,2,0.0107,0.0762,0.0771,中风险,12.41亿元
157,157,356,南方丰元信用增强债券C,2,0.0101,0.072,0.0635,中风险,8.15亿元
158,158,359,易方达易理财货币,3,0.0021,0.0293,0.1135,无,1621.63亿元
159,159,362,国泰聚信价值优势混合A,4,0.0455,0.1552,0.1702,中高风险,5.36亿元
160,160,363,国泰聚信价值优势混合C,4,0.0449,0.149,0.1839,中高风险,2.69亿元
161,161,366,汇添富添富通货币A,3,0.0018,0.0269,0.0944,低风险,33.35亿元
162,162,367,国泰安康定期支付混合A,4,0.0007,0.0604,0.1444,中高风险,0.33亿元
163,163,371,民生加银现金宝货币A,3,0.0023,0.0315,0.1125,无,285.20亿元
164,164,377,上投摩根双债增利债券A,2,0.0057,0.0641,0.0018,中风险,0.42亿元
165,165,378,上投摩根双债增利债券C,2,0.0057,0.0595,-0.0114,中风险,0.18亿元
166,166,379,平安日增利货币,3,0.002,0.0277,0.1036,低风险,1295.19亿元
167,167,380,景顺长城景益货币A,3,0.002,0.0265,0.098,低风险,971.13亿元
168,168,381,景顺长城景益货币B,3,0.0022,0.029,0.1059,低风险,0.39亿元
169,169,385,景顺长城景颐双利债券A,2,0.007,0.0641,0.1146,中风险,5.37亿元
170,170,386,景顺长城景颐双利债券C,2,0.0065,0.0599,0.1008,中风险,0.10亿元
171,171,389,广发天天红货币A,3,0.0019,0.0275,0.1019,无,33.97亿元
172,172,390,华商优势行业混合,4,0.0896,0.2567,0.3025,中高风险,4.93亿元
173,173,394,融通通源短融债券A,2,0.003,0.0366,0.0876,中低风险,0.13亿元
174,174,395,汇添富安心中国债券A,2,0.0064,0.0485,0.0792,中低风险,2.04亿元
175,175,396,汇添富安心中国债券C,2,0.0056,0.0471,0.095,中低风险,0.28亿元
176,176,397,汇添富全额宝货币,3,0.002,0.0287,0.1108,无,905.64亿元
177,177,398,华富灵活配置混合,4,0.0743,0.0544,-0.0771,中高风险,1.14亿元
178,178,402,工银纯债债券A,2,0.0085,0.0656,0.0458,中低风险,39.78亿元
179,179,403,工银纯债债券B,2,0.0081,0.0614,0.0338,中低风险,1.63亿元
180,180,404,易方达新兴成长灵活配置,4,0.1544,0.1818,-0.003,中高风险,15.87亿元
181,181,406,汇添富双利增强债券A,2,0.0066,0.0627,0.1267,中风险,2.42亿元
182,182,407,汇添富双利增强债券C,2,0.0056,0.0585,0.1162,中风险,0.16亿元
183,183,408,民生加银城镇化混合,4,0.0271,0.2077,0.3323,中高风险,4.05亿元
184,184,409,鹏华环保产业股票,1,0.0918,0.1073,0.0796,高风险,2.29亿元
185,185,410,益民服务领先混合,4,-0.0111,0.0803,0.0786,中高风险,0.66亿元
186,186,411,景顺长城优质成长股票,1,-0.0077,0.1369,0.097,高风险,0.87亿元
187,187,414,嘉实绝对收益策略定期混合,4,0.0084,0.0179,0.031,中低风险,1.60亿元
188,188,417,国联安新精选混合,4,0.022,-0.0091,-0.1305,中高风险,0.74亿元
189,189,418,景顺长城成长之星股票,1,0.0504,0.1836,0.2968,高风险,0.79亿元
190,190,419,大摩优质信价纯债A,2,0.0082,0.0589,0.1414,中低风险,24.73亿元
191,191,420,大摩优质信价纯债C,2,0.0083,0.0549,0.131,中低风险,1.41亿元
192,192,421,华泰柏瑞丰汇债券A,2,0.0039,0.0544,0.1124,中风险,12.21亿元
193,193,422,华泰柏瑞丰汇债券C,2,0.0035,0.0503,0.0982,中风险,0.01亿元
194,194,423,前海开源事件驱动混合A,4,-0.0019,0.244,0.3207,中高风险,1.20亿元
195,195,424,长盛添利宝货币A,3,0.0019,0.024,0.0939,低风险,33.46亿元
196,196,425,长盛添利宝货币B,3,0.0021,0.0264,0.1018,低风险,5.50亿元
197,197,428,易方达聚盈分级债券发起式,2,0.0028,0.0429,0.0975,无,5.71亿元
198,198,431,鹏华品牌传承混合,4,0.0328,0.2005,0.3669,中高风险,0.96亿元
199,199,432,中银优秀企业混合,4,0.0199,0.0859,-0.0136,中高风险,0.37亿元
200,200,433,安信鑫发优选混合,4,-0.0163,0.1511,-0.0074,中高风险,0.41亿元
201,201,434,新华壹诺宝货币A,3,0.0018,0.0247,0.1002,低风险,5.44亿元
202,202,435,建信稳定添利债券A,2,0.0045,0.0515,0.0427,中风险,0.20亿元
203,203,436,易方达裕惠定开混合发起式,4,0.0183,0.1109,0.1943,无,33.38亿元
204,204,439,国金鑫盈货币,3,0.0018,0.02,0.0806,低风险,1.64亿元
205,205,452,南方医药保健灵活配置混合,4,0.1266,0.1888,0.2761,中高风险,5.42亿元
206,206,457,上投摩根核心成长股票,1,0.0172,0.0554,0.0564,高风险,39.59亿元
207,207,458,英大领先回报混合发起式,4,-0.0254,0.06,0.177,中高风险,0.60亿元
208,208,462,农银主题轮动混合,4,0.0746,0.1733,0.1426,中高风险,6.36亿元
209,209,463,华商双债丰利债券A,2,0.0023,-0.0093,-0.3079,中风险,2.74亿元
210,210,464,嘉实活期宝货币,3,0.002,0.0284,0.107,低风险,145.35亿元
211,211,466,融通通瑞债券A/B,2,0.0029,-0.0308,-0.0096,中风险,0.13亿元
212,212,471,富国城镇发展股票,1,0.0716,0.1816,-0.3292,高风险,9.69亿元
213,213,475,广发天天利货币A,3,0.0018,0.0261,0.1054,低风险,10.06亿元
214,214,476,广发天天利货币B,3,0.002,0.0285,0.1134,低风险,21.36亿元
215,215,477,广发主题领先混合,4,0.0,0.0583,-0.0846,中高风险,13.51亿元
216,216,480,东方红新动力混合,4,0.0176,0.0208,0.133,中高风险,36.42亿元
217,217,481,华商双债丰利债券C,2,0.0024,-0.0117,-0.3182,中风险,0.64亿元
218,218,483,鑫元货币A,3,0.0018,0.0252,0.0976,低风险,3.95亿元
219,219,484,鑫元货币B,3,0.002,0.0277,0.1056,低风险,99.08亿元
220,220,489,光大岁末红利纯债A,2,0.0092,0.0358,0.0797,中低风险,18.48亿元
221,221,490,光大岁末红利纯债C,2,0.0088,0.0313,0.0649,中低风险,1.53亿元
222,222,493,南方现金通A,3,0.0021,0.0298,0.1141,低风险,0.02亿元
223,223,494,南方现金通B,3,0.0022,0.0303,0.1157,无,0.09亿元
224,224,495,南方现金通C,3,0.0022,0.031,0.1179,无,92.95亿元
225,225,496,长安产业精选混合A,4,0.064,0.1462,0.2763,中高风险,0.09亿元
226,226,497,财通纯债债券A,2,0.0103,0.0604,0.1057,无,5.20亿元
227,227,503,中信建投景和中短债A,2,0.0065,0.033,0.0763,中低风险,0.25亿元
228,228,504,中信建投景和中短债C,2,0.0061,0.0289,0.0634,中低风险,0.03亿元
229,229,505,国寿安保货币A,3,0.002,0.025,0.0948,低风险,93.53亿元
230,230,506,国寿安保货币B,3,0.0022,0.0274,0.1027,低风险,62.44亿元
231,231,507,泰达宏利宏达混合A,4,0.0122,0.0588,0.1962,中高风险,1.93亿元
232,232,508,泰达宏利宏达混合B,4,0.0118,0.0553,0.1827,中高风险,0.27亿元
233,233,509,广发钱袋子货币A,3,0.002,0.0274,0.1076,低风险,112.12亿元
234,234,511,国泰国策驱动灵活配置混合A,4,0.0545,0.0499,-0.0318,中高风险,0.45亿元
235,235,513,富国高端制造行业股票,1,0.0737,0.2928,0.2064,高风险,6.61亿元
236,236,520,上银新兴价值成长混合,4,0.069,0.3056,0.2896,中高风险,2.74亿元
237,237,522,华润元大信息传媒科技混合,4,0.1534,0.1442,-0.0245,中高风险,0.58亿元
238,238,523,国投瑞银医疗保健混合,4,0.0792,0.3317,0.1685,中高风险,6.08亿元
239,239,524,上投摩根民生需求股票,1,0.1388,0.1512,-0.1509,高风险,1.94亿元
240,240,526,国泰浓益灵活配置混合A,4,0.0498,0.0153,0.0184,中高风险,1.03亿元
241,241,527,南方新优享灵活配置混合A,4,0.0681,0.1513,0.3974,中高风险,30.29亿元
242,242,528,工银薪金货币A,3,0.0022,0.0309,0.1047,低风险,72.99亿元
243,243,529,广发竞争优势混合,4,0.0574,0.3611,0.4123,中高风险,8.47亿元
244,244,530,招商丰盛稳定增长混合A,4,0.0751,0.0939,0.013,中高风险,0.60亿元
245,245,531,东吴阿尔法灵活配置混合,4,0.0327,0.0476,0.125,中高风险,0.87亿元
246,246,532,景顺长城优势企业混合,4,0.0235,0.2607,0.483,中高风险,3.03亿元
247,247,533,永赢货币,3,0.0023,0.0311,0.1116,低风险,172.86亿元
248,248,534,长盛高端装备混合,4,0.068,0.0938,-0.0521,中高风险,2.72亿元
249,249,535,长盛航天海工装备灵活配置混合,4,0.0,0.0603,-0.1758,中高风险,0.93亿元
250,250,536,前海开源可转债债券,2,0.0265,0.1227,0.0624,中高风险,0.70亿元
251,251,538,诺安优势行业混合A,4,0.0046,0.0277,-0.0248,中高风险,1.53亿元
252,252,539,中银活期宝货币,3,0.0021,0.0285,0.1056,无,767.18亿元
253,253,540,国金金腾通货币A,3,0.0022,0.031,0.1121,低风险,156.54亿元
254,254,541,华商创新成长混合发起式,4,0.1195,0.3143,-0.2103,中高风险,4.65亿元
255,255,542,上银慧财宝货币A,3,0.0021,0.0268,0.0952,低风险,5.17亿元
256,256,543,上银慧财宝货币B,3,0.0023,0.0293,0.1031,低风险,123.54亿元
257,257,545,中邮核心竞争力灵活配置混合,4,0.0449,0.0648,-0.4218,中高风险,5.41亿元
258,258,547,建信健康民生混合,4,0.0507,0.3217,0.2222,中高风险,0.75亿元
259,259,548,鹏华聚财通货币,3,0.0021,0.0258,--,低风险,17.84亿元
260,260,549,华安大国新经济股票,1,0.0704,0.2199,0.0458,高风险,1.67亿元
261,261,550,广发新动力混合,4,-0.0094,0.0499,-0.2042,中高风险,6.66亿元
262,262,551,信诚幸福消费混合,4,0.0119,0.248,0.0648,中高风险,0.11亿元
263,263,554,中国梦灵活配置混合,4,0.039,0.0036,-0.0692,中高风险,2.87亿元
264,264,556,国投瑞银新机遇灵活配置混合A,4,-0.0268,0.1824,0.2223,中高风险,0.34亿元
265,265,557,国投瑞银新机遇灵活配置混合C,4,-0.0275,0.1767,0.2019,中高风险,0.47亿元
266,266,559,诺安天天宝A,3,0.002,0.0259,0.1006,低风险,436.70亿元
267,267,560,诺安天天宝E,3,0.0021,0.0274,0.1066,低风险,2.53亿元
268,268,561,南方启元债券A,2,0.0053,0.0508,0.0641,中低风险,38.12亿元
269,269,562,南方启元债券C,2,0.0052,0.0463,0.053,中低风险,1.30亿元
270,270,563,南方通利债券A,2,0.0091,0.0801,0.1167,中低风险,17.86亿元
271,271,564,南方通利债券C,2,0.0081,0.0752,0.1043,中低风险,2.18亿元
272,272,566,华泰柏瑞创新升级混合,4,0.058,0.1841,0.4104,中高风险,9.98亿元
273,273,567,广发聚祥灵活混合,4,0.0566,0.0566,0.0054,中高风险,2.39亿元
274,274,569,鹏华增值宝货币,3,0.0022,0.029,0.1066,低风险,269.20亿元
275,275,572,中银多策略混合,4,0.0384,0.0801,0.1883,中高风险,4.93亿元
276,276,573,天弘通利混合,4,0.035,0.0824,0.1484,中高风险,5.84亿元
277,277,574,宝盈新价值混合A,4,-0.0041,0.4199,-0.0094,中高风险,9.97亿元
278,278,575,兴全添利宝货币,3,0.0022,0.0299,0.1099,无,697.31亿元
279,279,576,中邮货币A,3,0.0021,0.0241,0.0956,低风险,0.86亿元
280,280,577,安信价值精选股票,1,-0.0162,0.1305,0.3028,高风险,37.92亿元
281,281,578,鑫元恒鑫收益增强A,2,0.0095,0.0513,-0.0122,中风险,0.05亿元
282,282,579,鑫元恒鑫收益增强C,2,0.0093,0.0472,-0.0226,中风险,0.06亿元
283,283,580,中邮货币B,3,0.0023,0.0265,0.1036,低风险,0.15亿元
284,284,581,嘉实活钱包货币A,3,0.002,0.0293,0.1081,无,144.12亿元
285,285,584,新华鑫益灵活配置混合,4,0.0924,0.142,0.3112,中高风险,2.67亿元
286,286,585,嘉实对冲套利定期混合,4,0.0442,0.0393,0.0482,中低风险,1.67亿元
287,287,586,景顺长城中小板创业板精选股票,1,0.066,0.1563,-0.1513,高风险,4.56亿元
288,288,587,大成灵活配置混合,4,0.0086,0.0694,0.0191,中高风险,1.92亿元
289,289,588,招商招钱宝货币A,3,0.0018,0.0282,0.1098,低风险,155.39亿元
290,290,589,光大银发商机混合,4,0.111,0.3702,0.1589,中高风险,1.42亿元
291,291,590,华安新活力混合,4,0.023,0.0639,0.182,中高风险,5.06亿元
292,292,591,中银健康生活混合,4,0.0553,0.0667,0.0068,中高风险,1.11亿元
293,293,592,建信改革红利股票,1,0.119,0.203,0.1426,高风险,1.56亿元
294,294,594,大摩进取优选股票,1,0.0239,0.1127,0.053,高风险,0.54亿元
295,295,595,嘉实泰和混合,4,0.0675,0.3991,0.4236,中高风险,11.78亿元
296,296,597,中海积极收益混合,4,0.0414,0.1096,0.2538,中高风险,2.41亿元
297,297,598,长盛生态环境混合,4,0.0216,0.1326,0.1533,中高风险,1.96亿元
298,298,599,信诚薪金宝货币,3,0.0021,0.0296,0.1076,无,253.94亿元
299,299,600,汇添富和聚宝货币,3,0.0021,0.0291,0.1116,低风险,208.79亿元
300,300,601,华宝创新优选混合,4,0.1225,0.2762,0.2058,中高风险,2.75亿元
301,301,602,富国安益货币,3,0.0022,0.0284,0.1073,无,105.45亿元
302,302,603,易方达创新驱动灵活配置混合,4,0.0058,0.1248,-0.1478,中高风险,19.44亿元
303,303,604,银华多利宝货币A,3,0.002,0.0276,0.1088,低风险,3.12亿元
304,304,605,银华多利宝货币B,3,0.0022,0.0301,0.1169,低风险,182.37亿元
305,305,606,天弘优选债券,2,0.0072,0.054,--,中低风险,78.05亿元
